"uuid";"sendervat";"sendername";"recipientvat";"recipientname";"documentid";"issuedate";"receiveddate"
"da721f41-8ac8-4f9e-a018-6eb69048d371";"IT00155400351";"CDD S.P.A.";"IT03185210618";"MD S.P.A.";"00369/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:48"
"db4eff26-1a5c-4eb3-beaa-f0785e668c3d";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00553/V1";"2019-01-31 00:00:00";"2019-02-04 18:06:50"
"db721723-2d7e-4499-bef6-0a3ea344d3f3";"IT00155400351";"CDD S.P.A.";"IT00145160354";"REALCO SOCIETA' COOPERATIVA";"00625/V1";"2019-01-31 00:00:00";"2019-02-06 18:08:36"
"db81e95a-aa80-4bcf-99b6-6a596c8b586f";"IT00155400351";"CDD S.P.A.";"IT00876120213";"CHEF EXPRESS S.P.A.";"00438/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:26"
"dc14ab01-0c59-4d8b-9341-7bc39b78364b";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00496/V1";"2019-01-31 00:00:00";"2019-02-01 17:56:23"
"dc2eb591-b325-489e-8a2e-6a35533bca9b";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00495/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:12"
"dca24b3a-573c-4a44-a770-a543ec554b48";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00199/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:41"
"dca6dfed-f531-430c-bd03-0c7fac609b70";"IT00155400351";"CDD S.P.A.";"IT01228380851";"C.D.S. S.P.A.";"00451/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:51"
"dd402988-fb22-4bc6-80da-4194db19bcb7";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00672/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:51"
"dda88503-2ac1-4336-9a2f-8a44ea648b7b";"IT00155400351";"CDD S.P.A.";"IT02795150362";"CENTRALE ADRIATICA SOC.COOP.";"00350/V1";"2019-01-26 00:00:00";"2019-01-29 11:53:33"
"deb59352-4ad2-4feb-bab2-528deb326d01";"IT00155400351";"CDD S.P.A.";"IT01097500225";"GHEZZI LUIGI S.R.L.";"00132/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:06"
"df67faf9-921e-4c05-ac68-4521b524aa73";"IT00155400351";"CDD S.P.A.";"IT01155650334";"PA.DI.AL. S.P.A.";"00058/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:03"
"df9e862d-1f45-4d76-8333-5e42bd7e4baf";"IT00155400351";"CDD S.P.A.";"IT12683790153";"GS S.P.A.";"00018/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:06"
